Sisa Makanan,Kayu/Ranting,Kertas/Karton,Plastik,Logam,Kain,Karet/Kulit,Kaca,Lainnya,postal_code,Provinsi,Kabupaten/Kota,Kelurahan,Kecamatan,Fasilitas_ID,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahterkelola (ton/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Bahan baku Sumber Energi
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYATMAJAN,DANUREJAN,169,2,Bank Sampah Unit Mekar Jaya,BSU,A,0.0,0.0,0.0,0.0,96.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PURBAYAN,KOTAGEDE,197,2,Bank Sampah Unit Barokah 16 Purbayan,BSU,A,0.0,0.0,0.0,0.0,2004.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GIWANGAN,UMBULHARJO,198,2,Bank Sampah Unit Giwang Bersih 9,BSU,A,0.0,0.0,0.0,0.0,1492.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KOTABARU,GONDOKUSUMAN,199,2,Bank Sampah Unit Code Mandiri,BSU,A,0.0,0.0,0.0,0.0,156.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,MUJA MUJU,UMBULHARJO,200,2,Bank Sampah Unit Melati Indah,BSU,A,0.0,0.0,20.25,0.0,1848.45,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,201,2,Bank Sampah Unit Guyup Warga,BSU,A,0.0,0.0,0.0,0.0,564.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SEMAKI,UMBULHARJO,202,2,Bank Sampah Unit Mandala Asri,BSU,A,0.0,0.0,0.0,0.0,378.6,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PRAWIRODIRJAN,GONDOMANAN,203,2,Bank Sampah Unit Kusuma Pertiwi,BSU,A,0.0,0.0,0.0,0.0,1576.8,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,NGUPASAN,GONDOMANAN,204,2,Bank Sampah Unit Mitra Insani,BSU,A,0.0,0.0,0.0,0.0,3168.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GUNUNGKETUR,PAKUALAMAN,493,2,Bank Sampah Unit Kaparesik Nawa,BSU,A,0.0,0.0,0.0,0.0,3130.73,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GEDONGKIWO,MANTRIJERON,205,2,Bank Sampah Unit Promas,BSU,A,0.0,0.0,0.0,0.0,10904.18,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,TEGALPANGGUNG,DANUREJAN,504,2,Bank Sampah Unit Mekar Maju,BSU,A,0.0,0.0,0.0,0.0,156.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PATANGPULUHAN,WIROBRAJAN,206,2,Bank Sampah Unit Kuncup Mekar 02 Patangpuluhan,BSU,A,0.0,0.0,0.0,0.0,450.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,REJOWINANGUN,KOTAGEDE,207,2,Bank Sampah Unit Sejahtera Mandiri,BSU,A,0.0,0.0,0.0,0.0,442.5,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KLITREN,GONDOKUSUMAN,208,2,Bank Sampah Unit Anugerah 04,BSU,A,0.0,0.0,0.0,0.0,1839.41,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PANDEYAN,UMBULHARJO,209,2,Bank Sampah Unit Warga Mulya,BSU,A,0.0,0.0,0.0,0.0,385.2,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,210,2,Bank Sampah Unit Jati Sumbering Rejeki,BSU,A,0.0,0.0,0.0,0.0,1152.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SEMAKI,UMBULHARJO,211,2,Bank Sampah Unit Guyub Rukun 04 Semaki,BSU,A,0.0,0.0,0.0,0.0,1623.6,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,NGUPASAN,GONDOMANAN,212,2,Bank Sampah Unit Migunani 04 Ngupasan,BSU,A,0.0,0.0,0.0,0.0,3186.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PAKUNCEN,WIROBRAJAN,213,2,Bank Sampah Unit Migunani 03 Pakuncen,BSU,A,0.0,0.0,0.0,240.0,5928.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GEDONGKIWO,MANTRIJERON,214,2,Bank Sampah Unit Renez'15,BSU,A,0.0,0.0,0.0,0.0,4086.72,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,TEGALPANGGUNG,DANUREJAN,505,2,Bank Sampah Unit Tunas Bhakti,BSU,A,0.0,0.0,0.0,0.0,84.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PRENGGAN,KOTAGEDE,215,2,Bank Sampah Unit Arum Sari,BSU,A,0.0,0.0,0.0,600.0,1800.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,REJOWINANGUN,KOTAGEDE,216,2,Bank Sampah Unit Restu Ibu,BSU,A,0.0,0.0,0.0,0.0,0.0,445.71,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KLITREN,GONDOKUSUMAN,217,2,Bank Sampah Unit Anugerah 05,BSU,A,0.0,0.0,0.0,8.4,1805.04,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PANDEYAN,UMBULHARJO,218,2,Bank Sampah Unit Menur,BSU,A,0.0,0.0,0.0,0.0,931.2,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,219,2,Bank Sampah Unit Jantra,BSU,A,0.0,0.0,0.0,0.0,1080.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SEMAKI,UMBULHARJO,220,2,Bank Sampah Unit Panca Lestari,BSU,A,0.0,0.0,0.0,36.0,654.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,NGUPASAN,GONDOMANAN,221,2,Bank Sampah Unit Mesem,BSU,A,0.0,0.0,0.0,0.0,4476.0,0.0,0.0
